LON,LAT,location_type,icon_type,nursery_code,name,physical_street,mailing_street,city,state,zip,phone,fax,email,website,Tree Fruits,Small Fruits,Nuts,Supplies,Apples,Blackberries,Blueberries,Cherries,Currants,Elderberries,Figs,Gooseberries,Grapes,Jujubes,Kiwi,Nectarines,Pawpaws,Peaches,Pears,Persimmons,Plums,Raspberries,Strawberries,Butternuts,Chinese-Chestnuts,Hazelnuts-Filberts,Heartnuts,Hicans,Hickory-Shagbark,Hickory-Shellbark,Hickory-Hybrid,Pecan-Northern,Walnuts-Black,Walnuts-PersianHardyEnglish,Almonds
-77.214752,39.97148,nursery_source,F,AD,"Adams County Nursery, Inc.",26 Nursery Road,P.O. Box 108,Aspers,PA,17304,717-677-8105,717-677-4124,can@cvn.net,http://www.acnursery.com,yes,no,no,yes,"Ambrosia - Antique, Hard Cider or Heirloom Cultivars - Arkansas Black - Blondee - Cameo  - Red Cameo - Cortland - Royal Court  - Crimson Crisp * - Empire - Crown Empire - Royal Empire - Enterprise * - Freedom * - Daybreak Fuji - Autumn Gala - Buckeye Gala (Simmons Cultivar) - Fulford Gala - Wildfire Gala - Ginger Gold - DA ROSA - Gibson Strain - GoldRush * - Granny Smith - Grimes Golden  - Honeycrisp - Firestorm - Jonagold De Coster - Wilton's Red Jonaprince  - Jonamac - Improved Red Jonathan - Liberty * - Lodi - RubyMac - Mollies Delicious - Mutsu (Crispin) - Pink Lady (Cripps Pink) - Barnsby Cultivar - Pristine * - Super Chief Red Delicious - Redfree * - Law Red Rome - Shizuka - Suncrisp - WineCrisp * - Yellow Transparent - Red Yorking - Zestar! -",,,Hartland - Hedelfingen - Kristin - Balaton -,,,,,,,,Ambre - Avalon - Brigantine - Easternglo - Fantasia - Flavortop - Nectafest - Red Gold - Sunglo - Arctic Glo - Emeraude - Jade - SilverGem - SilverGlo - Zephyr -,,Allstar - Autumnstar - Blazingstar - Bounty - Canadian Harmony - Contender - Coralstar - Cresthaven - Desiree - Earlystar - Encore - Ernie's Choice - Garnet Beauty  - Glenglo - Glohaven - Gloria - Glowingstar - John Boy - John Boy II - July Prince - Laurol - Loring - Madison - Messina - PF 15A Flamin' Fury - PF 17 Flamin'Fury - PF 19-007 Flamin' Fury - PF 23 Flamin' Fury - PF 27A Flamin' Fury - PF 28-007 Flamin' Fury - PF 5D Big Flamin' Fury - PF 8 Ball Flamin' Fury - PF 9A-007 Flamin' Fury - PF Lucky 13 Flamin' Fury - Redhaven - Redskin - Reliance - Selena - Sentry - Starfire - Summer Serenade - Sweet-N-Up - Victoria - August Rose - Blushingstar - N.J. 252 - Raritan Rose - September Snow - Snow Giant - Sugar Giant - Sugar May - White Lady - BuenOs - BuenOs II - Galaxy - Saturn - TangOs - TangOs II -,AC Harrow Crisp - Blake's Pride - Potomac - Seckel - Shenandoah - Sunrise - Megietsu - Shinko -,,Methley - Queen Rosa - Ruby Queen - Santa Rosa - Shiro - Bluebyrd - Castleton - Kenmore (NY9) - Long John - Stanley - Valor - Victory - Vision -,,,,,,,,,,,,,,
-74.5283351,39.8202153,nursery_source,F,AM,"A.G. Ammon Nursery, Inc.",1610 Rt. 532,P.O. Box 488,Chatsworth,NJ,08019-0488,609-726-1370,609-726-1270,orders@ammonnursery.com,http//www.ammonnursery.com,no,yes - blueberries,no,no,,,Bluecrop - Bluejay - Blueray - Chandler - Darrow - Duke - Earliblue - Elliott - Jersey - Legacy - Nelson - Patriot - Sierra - Spartan -,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.1081279,42.918388,nursery_source,F,AG,Amberg Grapvines,2399 Wheat Road,,Clifton Springs,NY,14432-931,315-462-3288,,office@amberggrapevines.com,http://www.amberggrapevines.com,no,yes - grapes,no,no,,,,,,,,,Corot Noir - Aromella (NY76.0844.24) - Chardonel - Frontenac Gris -,,,,,,,,,,,,,,,,,,,,,,
-86.1197621,42.387001,nursery_source,F,BA,Barwacz Farms,5146 59th Street,,Grand Junction,MI,49056,888-511-4419,269-253-4495,info@barwaczfarm.com,http://www.barwaczfarm.com,no,yes - blueberries,no,no,,,Aurora - Bluecrop - Bluejay - Blueray - Brigitta - Chandler - Draper - Duke - Elliott - Jersey - Liberty - Nelson - Patriot - Sierra - Spartan -,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.7559267,45.2309536,nursery_source,F,BG,Bunch Grapes,,P.O. Box 365,Aurora,OR,97002-0365,503-678-1410,,ionrom@bunchgrapes.com,http://www.bunchgrapes.com,no,yes - grapes,no,no,,,,,,,,,Chancellor - Concord - Frontenac - Marechal Foch - Golden Muscat - Seyval blanc - Vidal blanc - Buffalo - Concord - Mars - Reliance - Vanessa -,,,,,,,,,,,,,,,,,,,,,,
-81.5109405,36.4992896,nursery_source,F,BI,Big Horse Creek Farm,,P.O. Box 70,Lansing,NC,28643,336-384-1134,,oldapple@bighorsecreekfarm.com,http://www.bighorsecreekfarm.com,yes - apples,no,no,no,"Antique, Hard Cider or Heirloom Cultivars - Arkansas Black - Cortland - Early Harvest - Golden Delicious (Yellow Delicious) - Granny Smith - Grimes Golden  - Honeycrisp - Jonathan (Plant red strains) - King David ** - Liberty * - Polly Eades - Razor Russet - Red June (Carolina Red June) - Roxbury Russet - Yellow Transparent - York (York Imperial) -",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-86.3827179,36.9396958,nursery_source,F,BL,Bluegrass Blueberries,618 Roy Thomas Road,,Bowling Green,KY,42103,270-432-5836,,blueberrynurseryky@gmail.com,http://www.bluegrassblueberries.com,no,yes - blueberries,no,no,,,Bluecrop - Bluejay - Blueray - Chandler - Duke - Earliblue - Elliott - Legacy - Nelson - Patriot - Spartan - Misty -,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-94.137719,35.7268061,nursery_source,F,BM,Boston Mountain Nurseries,20189 North Hwy 71,P.O. Box 308,Mountainburg,AR,72946,479-369-2007,,bostonmountainnurseries@centurylink.net,http://www.alcasoft.com/bostonmountain,no,yes,no,no,,Apache - Natchez - Osage - Ouachita - Triple Crown - Prime-Ark Traveler -,Bluecrop - Bluejay - Blueray - Chandler - Duke - Earliblue - Jersey - Legacy - Nelson - Patriot - Sierra - Misty - Climax -,,,,Celeste -,,Chambourcin - Concord - Cynthiana - Cayuga - Concord - Mars - Sunbelt - Vanessa -,,,,,,,,,Boyne - Nova - Prelude - Caroline - Heritage -,,,,,,,,,,,,,
-122.6181347,46.5820246,nursery_source,FN,BR,"Burnt Ridge Nursery and Orchards, Inc",432 Burnt Ridge Road,,Onalaska,WA,98570,360-985-2873,360-985-0882,mail@burntridgenursery.com,http://www.burntridgenursery.com,yes,yes,yes,no,"Antique, Hard Cider or Heirloom Cultivars - Arkansas Black - Enterprise * - Freedom * - Auvil Early Fuji - Buckeye Gala (Simmons Cultivar) - Gibson Strain - Granny Smith - Honeycrisp - Liberty * - Pink Lady (Cripps Pink) - Spartan * - Yellow Transparent - Rootstocks -",Triple Crown -,. - Aurora - Bluecrop - Bluejay - Chandler - Darrow - Draper - Duke - Earliblue - Elliott - Jersey - Legacy - Liberty - Nelson - Patriot - Reka - Spartan - Misty - Star -,Sam - Montmorency - North Star - Rootstocks -,Consort - Minaj Smeriou - Titania - Rovada - White Imperial -,Nova - York -,Chicago Hardy -,Black Velvet - Captivator - Hinnomaki Red - Invicta - Pixwell -,Concord - Concord - Reliance - Vanessa -,Chico - Sugar Cane -,Ananasnaya Female - Chang Bai Hardy - Chico 74-49 Hardy Female - Hardy Kiwi Male - Issai Hardy Female - Kens Red Hardy Female - My Sweet Chico Female Hardy -,Harko - Mericrest -,NC-1 - Pennsylvania Golden - Shenandoah - Sunflower -,Contender - Redhaven - Reliance - Saturn -,Moonglow - Seckel - Shinko -,Early Golden - Nikita's Gift (Asian-American Hybrid) -,,Boyne - Jewel - Caroline -,Albion -,,,,,,,,,,,,
-119.1567811,46.490427,nursery_source,F,CM,"Cameron Nursery, Inc",1261 Ringold Road,,Eltopia,WA,99330,509-266-4669,,cnsales@fastmail.com,http://www.cameronnursery.com,yes,no,no,no,Ambrosia - Aztec Fuji - Buckeye Gala (Simmons Cultivar) - Gibson Strain - Granny Smith - Honeycrisp - Rootstocks -,,,Balaton - Montmorency - Rootstocks -,,,,,,,,,,,,,,,,,,,,,,,,,,,
